^AthleteID^|^ActivityID^|^StartTime^|^TotalElapsedTime^|^TotalDistanceMeters^|^MaxSpeedMPH^|^MeasuredTime^|^Latitude^|^Longitude^|^AltitudeMeters^|^DistanceMeters^|^CurrentSpeedMPH^|^CurrentGrade^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:56^|^47.662778^|^-122.041212^|^112.7^|^520.3^|^12.5^|^1.8^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:57^|^47.662826^|^-122.041213^|^112.8^|^525.6^|^12.3^|^1.9^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:58^|^47.662873^|^-122.041214^|^112.9^|^531.0^|^12.3^|^1.9^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:51:59^|^47.662921^|^-122.041217^|^113.0^|^536.2^|^12.1^|^1.4^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:00^|^47.662968^|^-122.04122^|^113.1^|^541.5^|^11.9^|^1.4^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:01^|^47.663015^|^-122.041224^|^113.1^|^546.7^|^11.9^|^1.0^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:02^|^47.663062^|^-122.041229^|^113.2^|^551.9^|^11.9^|^1.0^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:03^|^47.663109^|^-122.041236^|^113.2^|^557.2^|^11.6^|^1.5^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:04^|^47.663154^|^-122.041244^|^113.3^|^562.3^|^11.6^|^2.0^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:05^|^47.663199^|^-122.041256^|^113.4^|^567.3^|^11.6^|^2.5^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:06^|^47.663243^|^-122.041271^|^113.6^|^572.3^|^11.4^|^2.6^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:07^|^47.663285^|^-122.041287^|^113.7^|^577.1^|^11.2^|^3.7^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:08^|^47.663324^|^-122.041302^|^113.8^|^581.7^|^11.0^|^3.7^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:09^|^47.663365^|^-122.041318^|^114.1^|^586.4^|^10.7^|^4.9^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:10^|^47.663406^|^-122.041334^|^114.3^|^591.1^|^10.7^|^6.0^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:11^|^47.663446^|^-122.041347^|^114.6^|^595.6^|^10.5^|^5.5^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:12^|^47.663486^|^-122.041356^|^114.9^|^600.1^|^10.3^|^6.2^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:13^|^47.663525^|^-122.041361^|^115.1^|^604.5^|^10.3^|^6.3^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:14^|^47.663564^|^-122.041363^|^115.4^|^608.9^|^10.1^|^5.8^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:15^|^47.663602^|^-122.041364^|^115.7^|^613.1^|^9.8^|^6.5^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:16^|^47.663639^|^-122.041363^|^115.9^|^617.2^|^9.6^|^6.1^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:17^|^47.663676^|^-122.041361^|^116.2^|^621.3^|^9.4^|^5.4^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:18^|^47.663713^|^-122.041359^|^116.4^|^625.4^|^9.4^|^5.4^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:19^|^47.663751^|^-122.041355^|^116.6^|^629.7^|^9.4^|^5.4^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:20^|^47.663789^|^-122.041351^|^116.8^|^633.9^|^9.4^|^5.4^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:21^|^47.663826^|^-122.041348^|^117.1^|^638.0^|^9.4^|^5.3^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:22^|^47.663864^|^-122.041346^|^117.3^|^642.2^|^9.4^|^4.7^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:23^|^47.663903^|^-122.041346^|^117.5^|^646.6^|^9.4^|^4.1^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:24^|^47.663941^|^-122.041347^|^117.6^|^650.8^|^9.4^|^3.5^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:25^|^47.663979^|^-122.041349^|^117.8^|^655.0^|^9.4^|^3.0^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:26^|^47.664017^|^-122.041352^|^117.9^|^659.2^|^9.4^|^2.9^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:27^|^47.664055^|^-122.041353^|^118.0^|^663.5^|^9.6^|^2.3^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:28^|^47.664095^|^-122.041352^|^118.1^|^667.9^|^9.6^|^1.8^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:29^|^47.664133^|^-122.041348^|^118.2^|^672.2^|^9.6^|^1.2^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:30^|^47.664167^|^-122.041344^|^118.2^|^676.0^|^9.4^|^0.6^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:31^|^47.664205^|^-122.041342^|^118.2^|^680.1^|^9.4^|^0.6^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:32^|^47.664245^|^-122.041342^|^118.2^|^684.6^|^9.4^|^0.6^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:33^|^47.664285^|^-122.041342^|^118.3^|^689.0^|^9.4^|^1.7^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:34^|^47.664324^|^-122.041344^|^118.3^|^693.4^|^9.4^|^2.4^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:35^|^47.664359^|^-122.041346^|^118.5^|^697.3^|^9.6^|^2.3^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:36^|^47.664397^|^-122.041352^|^118.6^|^701.6^|^9.6^|^3.4^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:37^|^47.664438^|^-122.041362^|^118.7^|^706.2^|^9.6^|^2.7^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:38^|^47.66448^|^-122.041378^|^118.9^|^711.0^|^9.8^|^2.2^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:39^|^47.664518^|^-122.041401^|^119.0^|^715.6^|^9.8^|^1.6^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:40^|^47.664554^|^-122.041425^|^119.0^|^719.9^|^10.1^|^0.6^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:41^|^47.664587^|^-122.041458^|^119.0^|^724.4^|^10.3^|^0.6^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:42^|^47.66462^|^-122.041499^|^119.0^|^729.1^|^10.3^|^2.2^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:43^|^47.664645^|^-122.041546^|^119.1^|^733.7^|^10.1^|^3.3^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:44^|^47.664668^|^-122.041596^|^119.4^|^738.2^|^10.1^|^4.6^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:45^|^47.664687^|^-122.041645^|^119.6^|^742.4^|^10.1^|^4.7^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:46^|^47.664706^|^-122.041693^|^119.8^|^746.6^|^9.8^|^3.2^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:47^|^47.664727^|^-122.041737^|^119.9^|^750.6^|^9.6^|^2.6^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:48^|^47.664744^|^-122.041774^|^119.9^|^754.0^|^9.2^|^2.0^
^750228^|^839792480^|^2017-01-21 10:48:23^|^3:35:02^|^48615.1^|^33.3^|^2017-01-21 10:52:49^|^47.664765^|^-122.041811^|^120.0^|^757.7^|^8.7^|^1.3^
